schema,table_name,total_size,table_size,indexes_size
public,couple_gifts,40 kB,0 bytes,40 kB
public,post_likes,40 kB,0 bytes,40 kB
public,user_interests,40 kB,0 bytes,40 kB
public,monitoring_sessions,40 kB,0 bytes,40 kB
public,couple_profile_likes,40 kB,0 bytes,40 kB
public,invitation_analytics,40 kB,0 bytes,40 kB
public,user_points,40 kB,0 bytes,40 kB
public,invitation_templates,40 kB,0 bytes,40 kB
public,chat_messages,40 kB,0 bytes,40 kB
public,virtual_events,40 kB,0 bytes,40 kB
public,content_moderation,40 kB,0 bytes,40 kB
public,comment_likes,40 kB,0 bytes,40 kB
public,follows,40 kB,0 bytes,40 kB
public,security_alerts,40 kB,0 bytes,40 kB
public,pending_rewards,40 kB,0 bytes,40 kB
public,worldid_rewards,40 kB,0 bytes,40 kB
public,automation_rules,40 kB,0 bytes,40 kB
public,blocked_ips,40 kB,0 bytes,40 kB
public,nft_gallery_images,40 kB,0 bytes,40 kB
public,missions,40 kB,0 bytes,40 kB
public,system_metrics,32 kB,0 bytes,32 kB
public,app_metrics,32 kB,0 bytes,32 kB
public,blocks,32 kB,0 bytes,32 kB
public,user_consents,32 kB,0 bytes,32 kB
public,summary_requests,32 kB,0 bytes,32 kB
public,chat_rooms,32 kB,0 bytes,32 kB
public,smart_matches,32 kB,0 bytes,32 kB
public,daily_activities,32 kB,0 bytes,32 kB
public,user_staking,32 kB,0 bytes,32 kB
public,content_activities,32 kB,0 bytes,32 kB
public,event_participations,32 kB,0 bytes,32 kB
public,invitations,32 kB,0 bytes,32 kB
public,security_logs,32 kB,0 bytes,32 kB
public,token_staking,32 kB,0 bytes,32 kB
public,wallet_transactions,32 kB,0 bytes,32 kB
public,performance_logs,32 kB,0 bytes,32 kB
public,audit_logs,32 kB,0 bytes,32 kB
public,favorites,32 kB,0 bytes,32 kB
public,subscriptions,32 kB,0 bytes,32 kB
public,user_activity,32 kB,0 bytes,32 kB
public,points_transactions,32 kB,0 bytes,32 kB
public,user_device_tokens,32 kB,0 bytes,32 kB
public,app_config,32 kB,8192 bytes,24 kB
public,user_notification_preferences,32 kB,0 bytes,32 kB
public,couple_favorites,32 kB,0 bytes,32 kB
public,couple_statistics,32 kB,0 bytes,32 kB
public,apk_downloads,32 kB,0 bytes,32 kB
public,chat_members,24 kB,0 bytes,24 kB
public,image_metadata,24 kB,0 bytes,24 kB
public,chat_invitations,24 kB,0 bytes,24 kB
public,gallery_access_requests,24 kB,0 bytes,24 kB
public,room_members,24 kB,0 bytes,24 kB
public,user_2fa_settings,24 kB,0 bytes,24 kB
public,worldid_statistics,24 kB,0 bytes,24 kB
public,notification_history,24 kB,0 bytes,24 kB
public,user_explicit_preferences,24 kB,0 bytes,24 kB
public,engagement_activities,24 kB,0 bytes,24 kB
public,moderation_metrics,24 kB,0 bytes,24 kB
public,compatibility_scores,24 kB,0 bytes,24 kB
public,match_interactions,16 kB,0 bytes,16 kB
public,image_permissions,16 kB,0 bytes,16 kB
public,referral_tokens,16 kB,0 bytes,16 kB
public,fingerprint_bans,16 kB,0 bytes,16 kB
public,blocked_fingerprints,16 kB,0 bytes,16 kB
public,predictive_matching,16 kB,0 bytes,16 kB
public,sustainable_events,16 kB,0 bytes,16 kB
public,user_likes,16 kB,0 bytes,16 kB
public,premium_access,16 kB,0 bytes,16 kB
public,user_verification,16 kB,0 bytes,16 kB
